,ii,v6,vz
256,[-0.066  -0.066  -0.0565 ...  0.292   0.2935  0.297 ],[-0.078  -0.092  -0.1    ... -0.0135 -0.0125 -0.012 ],[-0.5265 -0.527  -0.522  ...  0.7465  0.749   0.7445]
257,[ 0.078   0.078   0.076  ... -0.489  -0.4845 -0.488 ],[ 0.286   0.289   0.2905 ... -0.301  -0.3025 -0.3   ],[ 0.8175  0.8105  0.813  ... -0.512  -0.5055 -0.5075]
258,[-1.8795 -1.8805 -1.8775 ... -0.1845 -0.1735 -0.1755],[ 0.0315  0.026   0.0235 ... -0.067  -0.0725 -0.0765],[1.6195 1.6325 1.6445 ... 1.072  1.0745 1.0945]
259,[ 0.253   0.2545  0.262  ... -0.4775 -0.477  -0.479 ],[ 0.125   0.13    0.128  ... -0.0705 -0.072  -0.073 ],[ 0.592   0.5995  0.606  ... -0.208  -0.206  -0.2145]
260,[ 0.23    0.239   0.2455 ... -0.285  -0.2835 -0.282 ],[-0.1755 -0.176  -0.176  ...  0.0375  0.04    0.0415],[-0.288  -0.2815 -0.278  ... -0.4875 -0.4935 -0.4985]
261,[-0.1145 -0.113  -0.1165 ...  0.0785  0.082   0.0785],[ 0.0205  0.0245  0.028  ... -0.0625 -0.063  -0.065 ],[ 0.256   0.251   0.2485 ... -0.0005  0.0025 -0.004 ]
262,[-0.3915 -0.39   -0.395  ...  0.3315  0.336   0.339 ],[ 0.3235  0.321   0.322  ... -0.5825 -0.579  -0.5805],[-2.198  -2.1935 -2.1955 ...  2.1845  2.1745  2.1715]
263,[-0.205  -0.207  -0.21   ...  0.5035  0.5015  0.4995],[-1.2695 -1.269  -1.2695 ...  1.534   1.536   1.5405],[ 0.4385  0.4435  0.4535 ... -0.8055 -0.796  -0.7935]
264,[-0.045  -0.047  -0.0415 ...  0.303   0.294   0.281 ],[0.0145 0.012  0.009  ... 0.045  0.067  0.0725],[-0.243  -0.248  -0.2375 ...  0.0745  0.0335  0.003 ]
265,[-0.2065 -0.205  -0.207  ...  0.215   0.213   0.212 ],[ 0.375   0.376   0.3785 ... -0.3    -0.2985 -0.293 ],[-0.6895 -0.6885 -0.6905 ...  0.6185  0.6195  0.607 ]
266,[ 0.1685  0.167   0.167  ... -0.0435 -0.0405 -0.04  ],[ 0.3865  0.3875  0.387  ... -0.3465 -0.3475 -0.349 ],[-0.0175 -0.0245 -0.032  ...  0.4995  0.4975  0.4975]
267,[ 0.1855  0.1835  0.1835 ... -0.494  -0.5    -0.5035],[-0.0135 -0.0125 -0.0165 ... -0.045  -0.044  -0.042 ],[-0.3545 -0.3505 -0.3485 ...  0.31    0.3065  0.301 ]
268,[ 0.813   0.725   0.6565 ... -0.435  -0.4365 -0.4355],[ 1.0075  1.028   1.05   ... -0.271  -0.2725 -0.2765],[-0.431  -0.4665 -0.511  ...  0.9085  0.9105  0.915 ]
269,[ 0.256   0.2595  0.2605 ... -0.2875 -0.289  -0.292 ],[ 0.1605  0.162   0.1635 ... -0.125  -0.1245 -0.126 ],[-0.1985 -0.2055 -0.2095 ...  0.0935  0.093   0.092 ]
270,[-0.134  -0.138  -0.142  ...  0.1085  0.108   0.11  ],[0.064  0.045  0.0225 ... 0.0405 0.0415 0.0405],[-0.1565 -0.1635 -0.1675 ...  0.118   0.119   0.123 ]
